label,total_appearances,dominant_class,dominant_pct,buildings,buildings_pct,forest,forest_pct,glacier,glacier_pct,mountain,mountain_pct,sea,sea_pct,street,street_pct
common iguana,1,mountain,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
lion,1,mountain,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
diamondback,1,mountain,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
meat loaf,1,mountain,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
matchstick,25,mountain,96.0,0,0.0,0,0.0,1,4.0,24,96.0,0,0.0,0,0.0
stove,22,mountain,90.91,0,0.0,0,0.0,0,0.0,20,90.91,0,0.0,2,9.09
jack-o'-lantern,10,mountain,90.0,0,0.0,0,0.0,0,0.0,9,90.0,0,0.0,1,10.0
lighter,6,mountain,83.33,1,16.67,0,0.0,0,0.0,5,83.33,0,0.0,0,0.0
tarantula,5,mountain,80.0,0,0.0,0,0.0,1,20.0,4,80.0,0,0.0,0,0.0
cliff dwelling,193,mountain,77.2,1,0.52,7,3.63,26,13.47,149,77.2,1,0.52,9,4.66
caldron,20,mountain,70.0,0,0.0,2,10.0,2,10.0,14,70.0,0,0.0,2,10.0
wig,6,mountain,66.67,0,0.0,1,16.67,0,0.0,4,66.67,1,16.67,0,0.0
Christmas stocking,3,mountain,66.67,0,0.0,1,33.33,0,0.0,2,66.67,0,0.0,0,0.0
meerkat,6,mountain,66.67,0,0.0,1,16.67,1,16.67,4,66.67,0,0.0,0,0.0
bighorn,68,mountain,63.24,0,0.0,13,19.12,12,17.65,43,63.24,0,0.0,0,0.0
nematode,5,mountain,60.0,0,0.0,0,0.0,1,20.0,3,60.0,1,20.0,0,0.0
Arabian camel,45,mountain,57.78,0,0.0,3,6.67,3,6.67,26,57.78,10,22.22,3,6.67
velvet,14,mountain,57.14,0,0.0,2,14.29,4,28.57,8,57.14,0,0.0,0,0.0
ibex,106,mountain,56.6,1,0.94,11,10.38,32,30.19,60,56.6,2,1.89,0,0.0
volcano,1143,mountain,55.12,5,0.44,69,6.04,313,27.38,630,55.12,107,9.36,19,1.66
ram,11,mountain,54.55,0,0.0,1,9.09,4,36.36,6,54.55,0,0.0,0,0.0
missile,85,mountain,50.59,12,14.12,5,5.88,10,11.76,43,50.59,6,7.06,9,10.59
projectile,60,mountain,50.0,9,15.0,6,10.0,8,13.33,30,50.0,4,6.67,3,5.0
toilet seat,4,mountain,50.0,1,25.0,0,0.0,1,25.0,2,50.0,0,0.0,0,0.0
baboon,6,mountain,50.0,0,0.0,1,16.67,2,33.33,3,50.0,0,0.0,0,0.0
gyromitra,6,mountain,50.0,0,0.0,2,33.33,1,16.67,3,50.0,0,0.0,0,0.0
electric guitar,2,mountain,50.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
digital clock,2,mountain,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0
platypus,2,mountain,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
fire screen,29,mountain,48.28,4,13.79,1,3.45,3,10.34,14,48.28,0,0.0,7,24.14
torch,71,mountain,47.89,4,5.63,3,4.23,0,0.0,34,47.89,3,4.23,27,38.03
quill,19,mountain,47.37,1,5.26,4,21.05,5,26.32,9,47.37,0,0.0,0,0.0
alp,2165,mountain,45.45,30,1.39,253,11.69,797,36.81,984,45.45,42,1.94,59,2.73
steam locomotive,77,mountain,45.45,4,5.19,4,5.19,1,1.3,35,45.45,3,3.9,30,38.96
marmot,22,mountain,45.45,0,0.0,2,9.09,9,40.91,10,45.45,1,4.55,0,0.0
mountain tent,733,mountain,45.16,0,0.0,167,22.78,205,27.97,331,45.16,7,0.95,23,3.14
space shuttle,62,mountain,45.16,13,20.97,2,3.23,4,6.45,28,45.16,7,11.29,8,12.9
geyser,503,mountain,44.93,3,0.6,83,16.5,98,19.48,226,44.93,83,16.5,10,1.99
stole,14,mountain,42.86,1,7.14,2,14.29,1,7.14,6,42.86,1,7.14,3,21.43
cougar,14,mountain,42.86,0,0.0,1,7.14,5,35.71,6,42.86,1,7.14,1,7.14
cliff,1763,mountain,42.48,5,0.28,246,13.95,415,23.54,749,42.48,316,17.92,32,1.82
EntleBucher,12,mountain,41.67,0,0.0,2,16.67,3,25.0,5,41.67,2,16.67,0,0.0
valley,2431,mountain,40.97,11,0.45,641,26.37,581,23.9,996,40.97,137,5.64,65,2.67
candle,13,mountain,38.46,4,30.77,0,0.0,1,7.69,5,38.46,0,0.0,3,23.08
llama,8,mountain,37.5,0,0.0,1,12.5,1,12.5,3,37.5,1,12.5,2,25.0
barn spider,8,mountain,37.5,0,0.0,1,12.5,2,25.0,3,37.5,1,12.5,1,12.5
brass,3,mountain,33.33,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0
stupa,42,mountain,30.95,12,28.57,6,14.29,1,2.38,13,30.95,3,7.14,7,16.67
scorpion,4,mountain,25.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0
Doberman,4,mountain,25.0,0,0.0,1,25.0,0,0.0,1,25.0,1,25.0,1,25.0
dam,490,mountain,23.27,40,8.16,82,16.73,106,21.63,114,23.27,81,16.53,67,13.67
iron,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Tibetan terrier,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
